"","Expected","_other","acq","corn","crude","earn","grain","interest","money.fx","ship","trade","wheat"
"_other","other",3,1541,39,347,830,27,84,312,83,277,97
"acq","acq",0,656,1,12,36,0,1,6,0,5,2
"corn","corn",0,5,12,11,6,3,1,1,2,8,7
"crude","crude",1,25,3,125,8,1,0,2,5,13,6
"earn","earn",1,20,1,2,1064,0,0,0,0,0,0
"grain","grain",0,4,3,12,4,1,0,5,3,7,5
"interest","interest",0,3,0,3,0,0,62,65,0,0,0
"money.fx","money.fx",2,8,1,0,1,0,19,129,3,16,1
"ship","ship",0,15,1,22,7,1,0,4,16,17,6
"trade","trade",0,2,2,14,2,1,0,6,3,79,8
"wheat","wheat",0,6,13,9,4,3,1,1,2,12,20
