"","cluster","other","acq","alum","austdlr","barley","bfr","bop","can","carcass","castor.oil","castorseed","citruspulp","cocoa","coconut","coconut.oil","coffee","copper","copra.cake","corn","corn.oil","cornglutenfeed","cotton.oil","cottonseed","cpi","cpu","crude","cruzado","dfl","dkr","dlr","dmk","earn","f.cattle","fishmeal","fuel","gas","gnp","gold","grain","groundnut","groundnut.oil","heat","hk","hog","housing","income","instal.debt","interest","inventories","ipi","iron.steel","jet","jobs","l.cattle","lead","lei","lin.meal","lin.oil","linseed","lit","livestock","lumber","meal.feed","money.fx","money.supply","nat.gas","nickel","nkr","nzdlr","oat","oilseed","orange","palladium","palm.oil","palmkernel","peseta","pet.chem","platinum","plywood","pork.belly","potato","propane","rand","rape.meal","rape.oil","rapeseed","red.bean","reserves","retail","rice","ringgit","rubber","rupiah","rye","saudriyal","sfr","ship","silver","skr","sorghum","soy.meal","soy.oil","soybean","stg","strategic.metal","sugar","sun.meal","sun.oil","sunseed","tapioca","tea","tin","trade","veg.oil","wheat","wool","wpi","yen","zinc"
"0","0",8820,2136,53,3,49,1,100,3,59,2,1,1,64,4,7,128,71,2,215,1,2,3,1,97,3,541,1,2,1,193,12,3525,2,1,24,61,142,113,550,10,2,25,1,21,16,13,6,443,7,60,56,6,65,6,26,15,1,2,2,3,90,16,44,697,160,113,9,3,4,12,172,25,3,36,3,1,38,12,4,3,6,5,3,1,7,35,1,72,24,59,1,45,1,2,3,2,259,32,1,30,24,22,106,18,26,159,2,8,16,3,14,25,490,123,270,1,24,61,33
"1","1",61,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,8,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,2,3,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,0,1,0,0,0,1
"10","10",40,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
"2","2",58,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"3","3",314,72,3,1,0,0,3,0,3,0,0,0,3,0,0,2,1,0,12,0,0,0,0,5,0,19,0,0,0,7,2,120,0,0,2,1,7,5,21,0,0,0,0,1,0,1,0,14,0,1,1,0,2,0,4,0,0,0,0,0,4,0,1,25,6,0,1,0,0,0,7,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,10,2,0,2,1,2,6,1,0,3,0,0,1,0,0,2,20,4,8,0,4,3,4
"4","4",110,17,1,0,0,0,1,0,2,0,0,0,1,0,0,2,1,0,2,0,0,0,0,2,0,13,0,0,0,2,1,25,0,0,0,0,0,4,8,0,0,0,0,1,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,1,2,7,0,1,0,0
"5","5",180,44,0,0,2,0,3,0,3,0,0,0,1,1,0,1,2,0,5,0,0,0,0,1,1,7,0,0,0,1,0,75,0,0,0,0,3,4,12,0,0,0,0,0,2,1,0,1,0,2,1,0,2,0,2,0,0,0,0,0,4,1,0,9,4,3,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,1,0,2,0,0,2,1,1,1,0,0,0,0,0,1,8,4,5,0,0,0,2
"6","6",491,135,4,0,1,0,6,0,3,0,0,0,4,0,0,7,1,1,9,0,0,0,0,4,0,37,0,1,0,11,0,190,0,0,1,2,8,5,21,0,0,0,0,3,2,2,1,42,0,0,5,2,3,2,1,1,0,0,0,0,7,0,2,41,13,3,1,0,0,0,5,2,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,2,0,0,0,0,23,1,0,0,0,0,2,1,1,9,0,0,0,0,0,2,26,3,10,1,3,2,4
"7","7",73,10,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0,2,0,9,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,8,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0
"8","8",49,12,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,9,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0
"9","9",42,7,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
