"","cluster","other","acq","corn","crude","earn","grain","interest","money.fx","ship","trade","wheat"
"1","1",48,15,0,6,13,1,3,4,1,1,1
"10","10",17,3,1,0,4,0,1,0,0,5,2
"11","11",43,3,0,2,8,2,0,2,2,5,0
"12","12",89,20,3,1,21,0,4,4,0,3,4
"13","13",32,8,2,3,16,0,1,2,0,0,3
"14","14",33,6,0,1,13,0,1,4,0,3,1
"15","15",12,2,0,0,0,0,0,0,0,0,0
"16","16",35,8,1,2,12,0,2,2,0,1,1
"17","17",4,1,0,1,1,1,0,0,1,0,0
"18","18",50,11,3,5,15,1,0,3,0,2,2
"19","19",17,4,0,1,4,0,1,1,0,1,1
"2","2",10439,2097,219,536,3474,133,444,704,268,466,253
"20","20",9,2,0,0,4,0,0,0,0,0,1
"21","21",9,3,0,1,4,0,1,1,1,0,0
"22","22",25,5,0,1,3,0,0,0,1,0,1
"23","23",4,0,0,0,0,0,0,0,0,0,0
"24","24",17,1,0,3,2,1,0,1,0,1,0
"25","25",8,2,0,0,1,0,0,1,0,0,0
"26","26",3,1,1,0,2,0,0,0,0,0,0
"27","27",24,8,1,0,11,1,2,2,0,1,1
"28","28",2,3,0,0,0,0,0,0,0,0,0
"29","29",1,0,0,2,4,0,0,0,1,0,0
"3","3",80,14,1,1,18,1,2,6,1,3,2
"30","30",5,1,0,0,1,0,0,0,0,1,0
"31","31",3,2,2,0,1,0,0,0,0,1,0
"32","32",3,0,0,0,1,0,1,0,0,0,0
"33","33",0,1,0,0,0,0,0,0,0,0,0
"34","34",0,0,0,0,1,0,0,0,0,0,0
"35","35",7,2,0,1,5,0,1,0,0,2,0
"36","36",4,0,0,0,1,0,0,0,0,0,0
"37","37",5,2,1,0,1,0,1,0,0,0,1
"38","38",2,0,0,0,0,0,1,0,0,0,0
"39","39",3,1,0,1,0,0,0,0,0,0,0
"4","4",387,79,5,19,113,4,13,19,12,14,11
"40","40",1,0,0,1,0,0,0,0,0,0,0
"41","41",3,1,0,0,0,0,0,0,0,0,0
"42","42",2,0,0,0,0,0,0,0,0,0,0
"43","43",3,0,0,1,1,0,0,0,0,1,0
"44","44",2,2,0,1,1,0,0,0,0,1,0
"45","45",2,1,0,1,4,0,2,1,0,0,0
"46","46",1,1,0,0,0,1,0,0,0,1,0
"47","47",1,0,0,0,0,0,0,0,0,0,0
"48","48",3,0,0,0,0,0,0,0,0,1,0
"49","49",0,1,0,0,1,0,0,0,0,0,0
"5","5",458,91,5,31,140,5,19,30,9,24,9
"50","50",1,0,0,0,0,0,0,0,0,0,0
"51","51",1,0,0,0,0,0,0,0,0,0,0
"52","52",1,0,0,0,0,0,0,0,0,0,0
"53","53",1,0,0,0,0,0,0,0,0,0,0
"6","6",126,19,3,7,35,2,7,6,4,3,7
"7","7",46,11,2,2,13,1,2,2,2,2,2
"8","8",26,4,1,1,5,1,1,2,1,1,1
"9","9",80,12,2,2,33,2,3,4,1,7,2
